star,period_days,M_V,M_V_err
l Car,35.551341,-5.35,0.22
zeta Gem,10.15073,-4.03,0.15
beta Dor,9.842425,-4.05,0.11
W Sgr,7.594904,-3.97,0.20
X Sgr,7.012877,-3.68,0.17
Y Sgr,5.77338,-3.42,0.30
delta Cep,5.36627,-3.47,0.11
FF Aql,4.470916,-3.05,0.15
T Vul,4.435462,-3.24,0.28
RT Aur,3.72819,-2.90,0.18
